bugid,when,what,removed,added
1478053,2019-01-17 07:14:19 PST,status-firefox64,fixed,verified
1478438,2018-07-26 01:09:45 PDT,Status,UNCONFIRMED,RESOLVED
1478438,2018-07-26 01:09:45 PDT,CC,,stefan.deiac
1478438,2018-07-26 01:09:45 PDT,Resolution,---,DUPLICATE
1478438,2018-07-26 01:09:45 PDT,Closed,,2018/7/26 8:09
1478438,2018-07-26 01:17:30 PDT,Status,RESOLVED,UNCONFIRMED
1478438,2018-07-26 01:17:30 PDT,Resolution,DUPLICATE,---
1478438,2018-07-26 16:04:58 PDT,Status,UNCONFIRMED,RESOLVED
1478438,2018-07-26 16:04:58 PDT,Resolution,---,INACTIVE
1478438,2018-07-26 16:04:58 PDT,Closed,2018/7/26 8:09,2018/7/26 23:04
1478438,2018-08-03 11:52:02 PDT,Status,RESOLVED,UNCONFIRMED
1478438,2018-08-03 11:52:02 PDT,CC,,kbrosnan
1478438,2018-08-03 11:52:02 PDT,Resolution,INACTIVE,---
1478438,2018-08-03 11:52:27 PDT,Keywords,,good-first-bug
1478438,2018-08-03 11:52:27 PDT,Status,UNCONFIRMED,NEW
1478438,2018-08-03 11:52:27 PDT,Ever confirmed,0,1
1478438,2018-09-09 14:35:38 PDT,CC,,korina.houghtaling
1478438,2018-09-17 13:08:03 PDT,Attachment #9009725  Flags,,"review+, feedback+"
1478438,2018-09-23 14:57:09 PDT,Flags,,needinfo?(matthew.finkel)
1478438,2018-12-10 14:55:00 PST,CC,,jan
1478438,2018-12-10 14:55:45 PST,Comment 1 Tag,,obsolete
1478438,2018-12-10 14:55:47 PST,Comment 2 Tag,,obsolete
1478438,2018-12-10 14:55:57 PST,Comment 3 Tag,,obsolete
1478438,2019-03-07 15:55:45 PST,CC,,samueljselvarajah
1478438,2019-03-07 17:09:01 PST,CC,,nalexander
1478438,2019-03-07 17:09:01 PST,Flags,needinfo?(matthew.finkel),needinfo?(nalexander)
1478438,2019-03-15 10:18:56 PDT,Flags,needinfo?(nalexander),
1478438,2019-03-29 03:27:37 PDT,Flags,,needinfo?(korina.houghtaling)
1478438,2019-05-17 09:52:30 PDT,Keywords,good-first-bug,checkin-needed
1478438,2019-05-17 09:53:23 PDT,Keywords,checkin-needed,
1478438,2019-05-17 12:32:37 PDT,Flags,needinfo?(korina.houghtaling),
1478438,2019-05-17 13:51:43 PDT,Summary,Unused Config Variables,Remove unused mobile/android config variables
1478438,2019-05-17 13:51:59 PDT,Attachment #9009725  Attachment is obsolete,0,1
1478438,2019-05-17 13:59:17 PDT,Attachment #9065368  Flags,,approval-mozilla-beta?
1478438,2019-05-17 14:51:35 PDT,Status,NEW,RESOLVED
1478438,2019-05-17 14:51:35 PDT,Resolution,---,FIXED
1478438,2019-05-17 14:51:35 PDT,Target Milestone,---,Firefox 68
1478438,2019-05-17 14:51:35 PDT,Closed,2018/7/26 23:04,2019/5/17 21:51
1478438,2019-05-17 14:51:35 PDT,status-firefox68,---,fixed
1478438,2019-05-17 14:51:35 PDT,Comment 19 Tag,,bugherder
1478438,2019-05-17 15:15:46 PDT,Assignee,nobody,matthew.finkel
1478438,2019-05-20 07:10:05 PDT,Attachment #9065368  Flags,approval-mozilla-beta?,approval-mozilla-beta-
1478590,2018-07-26 02:26:32 PDT,Attachment #8995114  Flags,Unnamed: 3,review?(francesco.lodolo)
1478590,2018-07-26 02:26:32 PDT,Comment 1 Tag,,mozreview-request
1478590,2018-07-26 02:28:07 PDT,Assignee,nobody,lebedel.delphine
1478590,2018-07-26 02:31:30 PDT,Attachment #8995114  Flags,review?(francesco.lodolo),review+
